wsi_id,split
000009,test
000021,test
000025,test
000026,test
000030,test
000036,test
000041,test
000042,test
000055,test
000084,test
000085,test
000093,test
000096,test
000102,test
000113,test
000120,test
000129,test
000136,test
000141,test
000147,test
000154,test
000165,test
000170,test
000172,test
000175,test
000177,test
000001,train
000002,train
000003,train
000004,train
000005,train
000011,train
000012,train
000013,train
000015,train
000016,train
000017,train
000018,train
000019,train
000020,train
000022,train
000023,train
000024,train
000027,train
000029,train
000032,train
000033,train
000034,train
000035,train
000037,train
000038,train
000039,train
000040,train
000043,train
000044,train
000045,train
000046,train
000047,train
000048,train
000049,train
000050,train
000051,train
000052,train
000053,train
000054,train
000056,train
000058,train
000060,train
000061,train
000062,train
000063,train
000064,train
000065,train
000066,train
000068,train
000069,train
000070,train
000071,train
000072,train
000073,train
000074,train
000075,train
000076,train
000077,train
000079,train
000081,train
000083,train
000086,train
000087,train
000088,train
000089,train
000090,train
000091,train
000095,train
000097,train
000098,train
000099,train
000100,train
000101,train
000104,train
000105,train
000107,train
000108,train
000109,train
000111,train
000112,train
000114,train
000115,train
000116,train
000118,train
000119,train
000121,train
000122,train
000123,train
000125,train
000126,train
000127,train
000128,train
000130,train
000132,train
000133,train
000134,train
000135,train
000137,train
000138,train
000139,train
000140,train
000142,train
000143,train
000144,train
000146,train
000148,train
000149,train
000150,train
000151,train
000153,train
000155,train
000156,train
000159,train
000160,train
000162,train
000164,train
000166,train
000167,train
000168,train
000169,train
000171,train
000173,train
000174,train
000176,train
000006,val
000007,val
000008,val
000010,val
000014,val
000028,val
000031,val
000057,val
000059,val
000067,val
000078,val
000080,val
000082,val
000092,val
000094,val
000103,val
000106,val
000110,val
000117,val
000124,val
000131,val
000145,val
000152,val
000157,val
000158,val
000161,val
000163,val
